id,origin_id,timeframe,type,origin,o_lat,o_lon,dest_id,dest,d_lat,d_lon,pop
1,ISR,pre_1948,static,Israel,31.0461,34.8516,,,,,1200000
2,WBNK,pre_1948,static,West Bank,31.9466,35.3027,,,,,440000
3,GAZA,pre_1948,static,Gaza Strip,31.3547,34.3088,,,,,80000
4,JOR,pre_1948,static,Jordan,30.5852,36.2384,,,,,10000
5,LBN,pre_1948,static,Lebanon,33.8547,35.8623,,,,,5000
6,SYR,pre_1948,static,Syria,34.8021,38.9968,,,,,5000
7,EGY,pre_1948,static,Egpyt,26.8206,30.8025,,,,,5000
8,SAU,pre_1948,static,Saudi Arabia,23.8859,45.0792,,,,,1000
9,UAE,pre_1948,static,United Arab Emirates,23.4241,53.8478,,,,,0
10,QAT,pre_1948,static,Qatar,25.3548,51.1839,,,,,0
11,KUW,pre_1948,static,Kuwait,29.3117,47.4818,,,,,0
12,BHR,pre_1948,static,Bahrain,26.0667,50.5577,,,,,0
13,OMN,pre_1948,static,Oman,21.4735,55.9754,,,,,0
2,WBNK,1948_war,flow,West Bank,31.9466,35.3027,ISR,Israel,31.0461,34.8516,276000
3,GAZA,1948_war,flow,Gaza Strip,31.3547,34.3088,ISR,Israel,31.0461,34.8516,190000
4,JOR,1948_war,flow,Jordan,30.5852,36.2384,ISR,Israel,31.0461,34.8516,350000
5,LBN,1948_war,flow,Lebanon,33.8547,35.8623,ISR,Israel,31.0461,34.8516,100000
6,SYR,1948_war,flow,Syria,34.8021,38.9968,ISR,Israel,31.0461,34.8516,56000
7,EGY,1948_war,flow,Egpyt,26.8206,30.8025,ISR,Israel,31.0461,34.8516,10000
8,SAU,1948_war,flow,Saudi Arabia,23.8859,45.0792,ISR,Israel,31.0461,34.8516,2000
9,UAE,1948_war,flow,United Arab Emirates,23.4241,53.8478,ISR,Israel,31.0461,34.8516,1000
10,QAT,1948_war,flow,Qatar,25.3548,51.1839,ISR,Israel,31.0461,34.8516,1000
11,KUW,1948_war,flow,Kuwait,29.3117,47.4818,ISR,Israel,31.0461,34.8516,2000
12,BHR,1948_war,flow,Bahrain,26.0667,50.5577,ISR,Israel,31.0461,34.8516,500
13,OMN,1948_war,flow,Oman,21.4735,55.9754,ISR,Israel,31.0461,34.8516,500
2,WBNK,1967_war,flow,West Bank,31.9466,35.3027,ISR,Israel,31.0461,34.8516,28000
3,GAZA,1967_war,flow,Gaza Strip,31.3547,34.3088,ISR,Israel,31.0461,34.8516,10000
4,JOR,1967_war,flow,Jordan,30.5852,36.2384,ISR,Israel,31.0461,34.8516,15000
5,LBN,1967_war,flow,Lebanon,33.8547,35.8623,ISR,Israel,31.0461,34.8516,5000
6,SYR,1967_war,flow,Syria,34.8021,38.9968,ISR,Israel,31.0461,34.8516,10000
7,EGY,1967_war,flow,Egpyt,26.8206,30.8025,ISR,Israel,31.0461,34.8516,500
8,SAU,1967_war,flow,Saudi Arabia,23.8859,45.0792,ISR,Israel,31.0461,34.8516,0
9,UAE,1967_war,flow,United Arab Emirates,23.4241,53.8478,ISR,Israel,31.0461,34.8516,0
10,QAT,1967_war,flow,Qatar,25.3548,51.1839,ISR,Israel,31.0461,34.8516,0
11,KUW,1967_war,flow,Kuwait,29.3117,47.4818,ISR,Israel,31.0461,34.8516,0
12,BHR,1967_war,flow,Bahrain,26.0667,50.5577,ISR,Israel,31.0461,34.8516,0
13,OMN,1967_war,flow,Oman,21.4735,55.9754,ISR,Israel,31.0461,34.8516,0
1,ISR,2025,static,Israel,31.0461,34.8516,,,,,2100000
2,WBNK,2025,static,West Bank,31.9466,35.3027,,,,,3300000
3,GAZA,2025,static,Gaza Strip,31.3547,34.3088,,,,,2100000
4,JOR,2025,static,Jordan,30.5852,36.2384,,,,,2700000
5,LBN,2025,static,Lebanon,33.8547,35.8623,,,,,450000
6,SYR,2025,static,Syria,34.8021,38.9968,,,,,430000
7,EGY,2025,static,Egpyt,26.8206,30.8025,,,,,70000
8,SAU,2025,static,Saudi Arabia,23.8859,45.0792,,,,,327000
9,UAE,2025,static,United Arab Emirates,23.4241,53.8478,,,,,200000
10,QAT,2025,static,Qatar,25.3548,51.1839,,,,,100000
11,KUW,2025,static,Kuwait,29.3117,47.4818,,,,,40000
12,BHR,2025,static,Bahrain,26.0667,50.5577,,,,,1000
13,OMN,2025,static,Oman,21.4735,55.9754,,,,,1000
